ID_Venta;ID_Estacion_Origen;ID_Estacion_Destino;Forma_Pago;Importe;ID_Pasajero;ID_Servicio
512;1374;418;Tarjeta Credito 6 Pagos;75000;1349;2
513;507;104;Tarjeta Credito 6 Pagos;25000;850;1
514;569;481;Tarjeta Credito 1 Pago;60000;1210;5
515;1212;286;Efectivo;40000;1936;5
516;982;1311;Tarjeta Credito 1 Pago;25000;624;4
517;1101;645;Tarjeta Credito 12 Pagos;25000;640;1
518;65;542;Tarjeta Credito 12 Pagos;15000;1442;4
519;1126;1277;Tarjeta Credito 12 Pagos;25000;998;5
520;1011;345;Tarjeta Credito 1 Pago;40000;789;3
521;357;624;Tarjeta Credito 6 Pagos;40000;1280;5
522;1376;1232;Efectivo;25000;480;4
523;119;32;Tarjeta Credito 12 Pagos;75000;420;4
524;1040;1329;Tarjeta Credito 1 Pago;25000;435;1
525;1417;1077;Tarjeta Credito 12 Pagos;40000;1132;4
526;1234;601;Efectivo;75000;1321;1
527;1132;225;Efectivo;75000;575;2
528;1257;748;Efectivo;75000;863;1
529;1386;263;Efectivo;25000;94;3
530;1308;391;Tarjeta Credito 6 Pagos;60000;1479;3
531;184;1185;Efectivo;25000;1575;3
532;639;102;Tarjeta Credito 1 Pago;25000;1705;2
533;164;391;Tarjeta Credito 6 Pagos;75000;1218;2
534;1221;1345;Tarjeta Credito 12 Pagos;75000;1274;1
535;908;643;Tarjeta Credito 12 Pagos;40000;901;2
536;1118;149;Tarjeta Credito 12 Pagos;60000;1214;4
537;1385;1124;Tarjeta Debito;75000;763;2
538;1284;795;Efectivo;75000;1710;5
539;1405;409;Efectivo;60000;1475;5
540;424;919;Tarjeta Debito;60000;1811;4
541;1336;1355;Efectivo;75000;334;1
542;406;95;Tarjeta Debito;60000;1960;5
543;75;1384;Efectivo;40000;820;1
544;452;155;Efectivo;25000;1949;5
545;1186;235;Tarjeta Credito 6 Pagos;25000;155;5
546;847;148;Efectivo;75000;1452;1
547;863;1357;Tarjeta Credito 12 Pagos;60000;1083;2
548;1297;125;Tarjeta Debito;25000;143;4
549;461;1036;Tarjeta Credito 6 Pagos;25000;80;4
550;396;329;Tarjeta Credito 12 Pagos;60000;1030;5
551;1127;383;Tarjeta Debito;60000;1705;5
552;193;548;Tarjeta Credito 12 Pagos;25000;1227;2
553;227;398;Tarjeta Credito 12 Pagos;60000;490;4
554;32;203;Tarjeta Credito 6 Pagos;60000;9;2
555;248;1212;Tarjeta Credito 6 Pagos;25000;1786;3
556;465;574;Tarjeta Debito;15000;864;5
557;91;631;Tarjeta Debito;15000;1882;2
558;456;117;Tarjeta Debito;15000;1551;1
559;634;257;Efectivo;40000;328;1
560;899;1416;Efectivo;60000;766;2
561;79;1223;Tarjeta Credito 12 Pagos;40000;391;4
562;940;1233;Tarjeta Credito 6 Pagos;60000;694;1
563;288;709;Tarjeta Credito 12 Pagos;15000;1489;4
564;1164;318;Tarjeta Credito 1 Pago;40000;1810;1
565;1317;1182;Tarjeta Debito;75000;454;4
566;1233;923;Tarjeta Debito;75000;166;1
567;1088;1360;Tarjeta Credito 6 Pagos;60000;1072;1
568;1364;740;Tarjeta Credito 6 Pagos;60000;1656;3
569;898;62;Efectivo;15000;95;2
570;625;1298;Tarjeta Credito 6 Pagos;60000;262;4
571;445;279;Tarjeta Credito 6 Pagos;60000;929;1
572;923;133;Tarjeta Credito 6 Pagos;25000;796;5
573;1334;1115;Tarjeta Credito 6 Pagos;40000;1922;1
574;820;282;Tarjeta Credito 12 Pagos;75000;502;3
575;1240;515;Tarjeta Credito 1 Pago;40000;597;4
576;299;1192;Tarjeta Credito 1 Pago;15000;1432;5
577;13;547;Tarjeta Credito 12 Pagos;75000;593;2
578;1131;1359;Tarjeta Debito;40000;945;1
579;302;1428;Efectivo;25000;896;2
580;49;1051;Tarjeta Credito 1 Pago;40000;1459;3
581;487;54;Tarjeta Credito 12 Pagos;75000;1310;4
582;793;571;Tarjeta Credito 1 Pago;60000;136;4
583;922;519;Tarjeta Credito 6 Pagos;15000;1989;2
584;788;1277;Efectivo;60000;1972;4
585;577;189;Tarjeta Debito;25000;703;2
586;514;873;Tarjeta Credito 1 Pago;60000;1969;5
587;776;790;Tarjeta Credito 6 Pagos;75000;1437;1
588;147;590;Tarjeta Credito 6 Pagos;60000;957;5
589;55;1232;Tarjeta Credito 6 Pagos;60000;1452;1
590;651;819;Tarjeta Credito 1 Pago;75000;1370;3
591;405;140;Tarjeta Credito 12 Pagos;25000;1989;3
592;260;448;Tarjeta Debito;60000;989;2
593;1155;141;Tarjeta Credito 6 Pagos;40000;1854;4
594;510;837;Efectivo;40000;612;5
595;655;607;Efectivo;60000;891;3
596;800;1094;Efectivo;25000;711;1
597;131;720;Efectivo;60000;1231;3
598;793;1359;Tarjeta Credito 12 Pagos;75000;1798;5
599;504;906;Tarjeta Credito 1 Pago;15000;44;2
600;29;1160;Tarjeta Debito;40000;1478;4
601;665;779;Tarjeta Credito 1 Pago;25000;1710;2
602;969;1232;Tarjeta Debito;15000;457;2
603;192;119;Tarjeta Credito 1 Pago;75000;138;1
604;203;376;Tarjeta Credito 1 Pago;25000;1325;1
605;1169;1127;Tarjeta Debito;60000;1236;5
606;949;608;Efectivo;25000;1028;4
607;706;1277;Tarjeta Debito;75000;957;1
608;1341;105;Tarjeta Debito;25000;179;4
609;802;394;Tarjeta Debito;40000;1135;3
610;1065;1348;Tarjeta Credito 1 Pago;25000;1214;3
611;1355;772;Efectivo;40000;1299;2
612;990;1264;Tarjeta Credito 12 Pagos;25000;220;2
613;72;711;Efectivo;15000;796;3
614;93;1158;Tarjeta Credito 1 Pago;40000;795;4
615;921;830;Tarjeta Credito 12 Pagos;25000;235;2
616;989;1430;Tarjeta Credito 6 Pagos;60000;109;1
617;1215;1071;Tarjeta Credito 1 Pago;25000;1779;3
618;1159;471;Tarjeta Credito 6 Pagos;60000;905;2
619;162;1070;Efectivo;15000;1643;4
620;862;547;Efectivo;60000;388;4
621;1388;696;Tarjeta Credito 6 Pagos;25000;1744;5
622;589;735;Tarjeta Credito 6 Pagos;60000;1980;5
623;296;1198;Efectivo;25000;503;2
624;890;1098;Tarjeta Credito 1 Pago;75000;1810;3
625;791;917;Efectivo;40000;433;5
626;1278;699;Tarjeta Credito 1 Pago;40000;1480;1
627;918;375;Tarjeta Debito;15000;933;4
628;445;940;Tarjeta Credito 1 Pago;25000;734;3
629;939;751;Efectivo;40000;1031;5
630;346;557;Efectivo;15000;531;4
631;1427;914;Tarjeta Credito 6 Pagos;15000;1684;4
632;768;1345;Tarjeta Credito 6 Pagos;40000;1930;1
633;1032;1226;Tarjeta Credito 6 Pagos;25000;603;1
634;1103;617;Tarjeta Credito 6 Pagos;60000;822;4
635;667;512;Efectivo;40000;571;2
636;61;881;Tarjeta Credito 12 Pagos;25000;918;3
637;89;600;Efectivo;40000;1612;4
638;1226;58;Tarjeta Debito;40000;1161;2
639;793;241;Tarjeta Debito;40000;1599;3
640;290;1391;Tarjeta Credito 1 Pago;25000;181;4
641;29;742;Efectivo;60000;784;2
642;1184;1131;Tarjeta Credito 6 Pagos;60000;968;4
643;702;631;Tarjeta Debito;40000;1397;5
644;26;1130;Tarjeta Credito 6 Pagos;75000;1190;1
645;119;1180;Tarjeta Credito 12 Pagos;15000;159;5
646;988;396;Tarjeta Debito;25000;313;3
647;1239;1093;Tarjeta Debito;60000;591;2
648;213;1182;Tarjeta Credito 1 Pago;25000;409;2
649;1383;1399;Tarjeta Credito 12 Pagos;15000;591;3
650;757;1079;Tarjeta Credito 6 Pagos;25000;489;5
651;1132;317;Efectivo;75000;1705;3
652;671;1413;Tarjeta Credito 1 Pago;60000;1675;3
653;599;1008;Tarjeta Debito;40000;631;5
654;42;1019;Efectivo;75000;1120;5
655;383;423;Tarjeta Debito;40000;1465;3
656;1081;637;Efectivo;15000;150;2
657;234;413;Tarjeta Credito 12 Pagos;15000;10;3
658;131;1220;Tarjeta Credito 6 Pagos;15000;1942;2
659;865;981;Tarjeta Credito 12 Pagos;60000;1459;2
660;959;253;Tarjeta Credito 6 Pagos;75000;978;4
661;22;453;Efectivo;15000;91;4
662;440;730;Tarjeta Debito;25000;1722;1
663;1406;280;Tarjeta Debito;60000;670;3
664;1290;507;Tarjeta Credito 12 Pagos;75000;76;1
665;1226;675;Efectivo;40000;1876;3
666;86;930;Tarjeta Credito 6 Pagos;25000;1620;5
667;960;818;Tarjeta Credito 6 Pagos;75000;1675;4
668;417;1093;Tarjeta Credito 12 Pagos;40000;1988;5
669;1263;1403;Tarjeta Debito;60000;1256;1
670;873;619;Tarjeta Debito;75000;251;3
671;425;239;Tarjeta Debito;75000;242;1
672;611;13;Tarjeta Credito 1 Pago;15000;713;4
673;381;63;Tarjeta Credito 6 Pagos;40000;746;3
674;766;445;Efectivo;75000;1368;1
675;1296;214;Tarjeta Debito;60000;406;4
676;797;1181;Tarjeta Debito;15000;517;2
677;583;831;Tarjeta Credito 6 Pagos;15000;1229;1
678;182;279;Efectivo;60000;845;1
679;1215;390;Tarjeta Credito 12 Pagos;15000;538;1
680;268;1193;Tarjeta Credito 1 Pago;25000;227;5
681;170;727;Tarjeta Credito 6 Pagos;60000;1269;5
682;435;618;Tarjeta Credito 12 Pagos;40000;1070;5
683;561;514;Efectivo;15000;282;3
684;961;991;Tarjeta Credito 12 Pagos;15000;1106;3
685;1233;436;Tarjeta Credito 6 Pagos;40000;718;3
686;615;1240;Efectivo;75000;667;4
687;1160;1331;Efectivo;75000;1556;1
688;1280;593;Tarjeta Credito 6 Pagos;40000;1711;5
689;237;676;Tarjeta Credito 12 Pagos;60000;868;3
690;1272;99;Tarjeta Credito 6 Pagos;25000;653;3
691;621;345;Efectivo;15000;422;1
692;1251;907;Tarjeta Credito 12 Pagos;25000;1390;1
693;1236;601;Tarjeta Credito 1 Pago;15000;1581;5
694;1041;1074;Tarjeta Credito 6 Pagos;25000;1594;5
695;777;898;Tarjeta Credito 12 Pagos;60000;1430;5
696;108;1407;Tarjeta Credito 12 Pagos;60000;1606;2
697;761;1053;Tarjeta Credito 1 Pago;60000;1719;4
698;1177;639;Tarjeta Credito 1 Pago;75000;1381;1
699;627;324;Tarjeta Debito;40000;525;1
700;1227;25;Efectivo;60000;1820;3
701;1285;713;Tarjeta Credito 6 Pagos;25000;1110;2
702;7;151;Efectivo;40000;1690;1
703;148;1131;Tarjeta Debito;40000;670;4
704;526;496;Tarjeta Debito;75000;1699;1
705;237;359;Tarjeta Credito 1 Pago;15000;250;3
706;1270;322;Tarjeta Credito 12 Pagos;60000;1506;3
707;1032;916;Tarjeta Credito 1 Pago;25000;399;3
708;801;1001;Tarjeta Debito;60000;1880;5
709;718;1337;Tarjeta Credito 12 Pagos;25000;1965;2
710;179;827;Tarjeta Debito;40000;1403;2
711;1317;55;Tarjeta Credito 12 Pagos;60000;1663;5
712;757;443;Efectivo;75000;1883;3
713;999;342;Tarjeta Debito;15000;913;4
714;164;557;Tarjeta Credito 12 Pagos;15000;679;4
715;41;1391;Tarjeta Credito 6 Pagos;25000;1907;4
716;415;1383;Tarjeta Credito 6 Pagos;40000;1034;2
717;838;1296;Tarjeta Debito;75000;1116;4
718;1110;492;Tarjeta Debito;15000;1286;2
719;1191;915;Tarjeta Credito 6 Pagos;75000;887;5
720;619;920;Tarjeta Credito 6 Pagos;15000;180;5
721;556;48;Tarjeta Debito;25000;694;2
722;231;1125;Tarjeta Credito 6 Pagos;60000;1092;4
723;236;893;Tarjeta Credito 12 Pagos;40000;965;3
724;961;1040;Tarjeta Debito;60000;1283;3
725;1380;354;Tarjeta Credito 12 Pagos;15000;1387;4
726;1207;707;Tarjeta Credito 1 Pago;15000;1856;1
727;122;793;Tarjeta Credito 6 Pagos;75000;31;1
728;481;1115;Tarjeta Credito 12 Pagos;25000;1223;2
729;491;223;Tarjeta Credito 12 Pagos;40000;117;2
730;891;1079;Efectivo;25000;948;3
731;262;307;Tarjeta Credito 12 Pagos;75000;1409;1
732;1210;153;Tarjeta Debito;40000;1950;1
733;953;1081;Efectivo;60000;1628;1
734;1337;1274;Tarjeta Credito 1 Pago;75000;1004;2
735;746;133;Tarjeta Debito;25000;1913;5
736;103;1035;Tarjeta Credito 6 Pagos;25000;1482;4
737;843;1409;Efectivo;15000;323;1
738;1314;575;Tarjeta Credito 6 Pagos;40000;365;5
739;314;975;Efectivo;40000;908;5
740;1416;1220;Tarjeta Credito 6 Pagos;60000;1038;4
741;1094;979;Tarjeta Credito 6 Pagos;60000;620;1
742;884;1107;Tarjeta Debito;25000;1165;3
743;1193;633;Tarjeta Credito 12 Pagos;15000;1792;3
744;1051;953;Tarjeta Debito;60000;1435;1
745;283;925;Tarjeta Credito 1 Pago;75000;1782;3
746;1066;552;Tarjeta Credito 1 Pago;75000;1945;5
747;1273;228;Efectivo;60000;1811;5
748;801;642;Tarjeta Credito 12 Pagos;15000;1721;4
749;127;1172;Tarjeta Credito 1 Pago;40000;1592;2
750;1393;728;Tarjeta Credito 6 Pagos;60000;115;5
751;817;1402;Tarjeta Credito 12 Pagos;75000;1936;5
752;904;1284;Tarjeta Credito 12 Pagos;75000;651;4
753;976;518;Efectivo;75000;94;5
754;47;741;Tarjeta Credito 1 Pago;60000;1559;4
755;755;222;Efectivo;75000;911;2
756;324;1269;Tarjeta Credito 6 Pagos;40000;749;1
757;440;938;Tarjeta Debito;25000;656;4
758;1053;328;Tarjeta Credito 1 Pago;60000;1410;4
759;841;1052;Tarjeta Debito;75000;664;4
760;818;1235;Tarjeta Debito;15000;642;1
761;1095;464;Tarjeta Debito;15000;1684;1
762;664;1400;Tarjeta Credito 12 Pagos;40000;1313;3
763;1289;58;Tarjeta Debito;40000;1043;3
764;923;443;Efectivo;40000;1931;2
765;44;439;Tarjeta Credito 12 Pagos;15000;1390;4
766;722;170;Tarjeta Credito 12 Pagos;40000;1919;2
767;509;923;Efectivo;15000;1870;5
768;590;129;Tarjeta Credito 12 Pagos;15000;1626;1
769;223;207;Tarjeta Debito;60000;389;1
770;1312;1364;Tarjeta Credito 12 Pagos;25000;428;1
771;550;76;Tarjeta Credito 1 Pago;60000;497;4
772;374;89;Tarjeta Credito 1 Pago;40000;1584;4
773;796;1140;Tarjeta Credito 12 Pagos;75000;275;1
774;601;660;Efectivo;75000;708;5
775;811;839;Tarjeta Debito;75000;833;4
776;1031;744;Tarjeta Debito;15000;1541;3
777;262;1390;Tarjeta Credito 1 Pago;15000;919;1
778;1114;891;Efectivo;40000;1328;3
779;1383;879;Tarjeta Credito 6 Pagos;25000;513;4
780;1028;907;Tarjeta Credito 6 Pagos;75000;58;4
781;543;905;Efectivo;60000;780;2
782;351;917;Tarjeta Credito 1 Pago;40000;1578;1
783;519;481;Tarjeta Credito 1 Pago;75000;504;4
784;1426;302;Tarjeta Credito 6 Pagos;25000;552;1
785;92;1390;Tarjeta Credito 6 Pagos;25000;193;3
786;1055;699;Efectivo;75000;1930;2
787;635;1190;Tarjeta Debito;15000;5;3
788;755;870;Tarjeta Credito 6 Pagos;25000;1389;3
789;1025;461;Tarjeta Credito 1 Pago;75000;1673;3
790;1366;436;Tarjeta Credito 12 Pagos;60000;1904;3
791;752;4;Tarjeta Debito;75000;179;3
792;314;1116;Tarjeta Credito 6 Pagos;40000;46;5
793;637;992;Tarjeta Debito;40000;631;5
794;1335;862;Tarjeta Credito 1 Pago;40000;1371;1
795;1263;59;Tarjeta Credito 1 Pago;75000;566;4
796;1212;278;Tarjeta Credito 12 Pagos;15000;1801;3
797;483;584;Efectivo;60000;182;1
798;285;1295;Efectivo;60000;891;3
799;980;457;Tarjeta Credito 6 Pagos;25000;882;2
800;612;348;Efectivo;60000;212;1
801;297;587;Efectivo;40000;797;5
802;1167;632;Tarjeta Credito 12 Pagos;15000;322;2
803;1197;722;Tarjeta Credito 1 Pago;75000;1110;3
804;18;135;Efectivo;75000;956;3
805;4;36;Tarjeta Debito;15000;190;5
806;1410;679;Tarjeta Credito 12 Pagos;15000;650;1
807;1368;641;Tarjeta Credito 6 Pagos;75000;894;5
808;381;280;Tarjeta Credito 6 Pagos;25000;709;1
809;1172;483;Tarjeta Credito 6 Pagos;40000;1311;2
810;937;350;Tarjeta Debito;15000;1273;3
811;589;1093;Tarjeta Debito;15000;1347;5
812;1222;1275;Tarjeta Credito 1 Pago;25000;1872;4
813;205;144;Efectivo;25000;1989;4
814;1014;400;Tarjeta Debito;25000;64;3
815;1043;370;Tarjeta Credito 6 Pagos;75000;1574;4
816;725;605;Efectivo;75000;1588;1
817;820;1322;Tarjeta Credito 12 Pagos;25000;314;1
818;952;1426;Tarjeta Debito;25000;1709;3
819;1241;784;Tarjeta Credito 6 Pagos;15000;1129;4
820;314;1161;Tarjeta Credito 12 Pagos;40000;1485;2
821;147;1401;Tarjeta Credito 1 Pago;40000;243;2
822;628;999;Tarjeta Credito 6 Pagos;60000;494;2
823;400;619;Tarjeta Credito 1 Pago;25000;1823;3
824;321;934;Tarjeta Credito 12 Pagos;40000;900;5
825;986;936;Efectivo;25000;784;1
826;142;192;Tarjeta Debito;40000;51;2
827;260;1350;Tarjeta Credito 6 Pagos;25000;1359;5
828;194;84;Tarjeta Credito 1 Pago;40000;1997;5
829;993;475;Tarjeta Debito;25000;1797;2
830;507;1330;Tarjeta Credito 12 Pagos;15000;753;1
831;1417;345;Tarjeta Credito 12 Pagos;75000;1801;5
832;135;749;Tarjeta Credito 6 Pagos;25000;1129;3
833;599;264;Tarjeta Debito;40000;1666;3
834;978;1035;Efectivo;60000;1445;2
835;805;303;Tarjeta Credito 12 Pagos;25000;994;3
836;1427;1197;Tarjeta Credito 6 Pagos;40000;1331;2
837;643;1422;Efectivo;40000;708;1
838;862;695;Efectivo;25000;1625;3
839;421;371;Tarjeta Debito;60000;5;1
840;286;625;Efectivo;40000;1674;4
841;1187;700;Efectivo;25000;1478;4
842;1387;370;Efectivo;15000;936;3
843;1072;66;Tarjeta Credito 12 Pagos;15000;150;2
844;506;542;Tarjeta Credito 1 Pago;15000;442;2
845;150;1312;Tarjeta Credito 12 Pagos;75000;1620;4
846;1143;105;Tarjeta Credito 1 Pago;60000;52;4
847;146;1396;Efectivo;60000;1111;2
848;970;525;Tarjeta Debito;40000;1720;1
849;180;936;Tarjeta Credito 12 Pagos;60000;676;3
850;1021;615;Tarjeta Credito 6 Pagos;75000;1561;1
851;350;1430;Tarjeta Credito 12 Pagos;75000;1129;2
852;861;946;Tarjeta Credito 12 Pagos;75000;818;2
853;708;785;Tarjeta Debito;60000;1209;5
854;723;822;Tarjeta Debito;15000;1611;1
855;769;1020;Tarjeta Debito;40000;1012;3
856;623;547;Tarjeta Credito 6 Pagos;60000;1772;1
857;754;220;Tarjeta Credito 12 Pagos;25000;931;5
858;711;83;Tarjeta Credito 1 Pago;75000;393;2
859;1192;429;Tarjeta Credito 12 Pagos;15000;1509;3
860;511;267;Efectivo;15000;1272;1
861;950;83;Tarjeta Credito 6 Pagos;60000;457;3
862;513;286;Tarjeta Credito 12 Pagos;75000;425;2
863;608;208;Tarjeta Debito;75000;657;4
864;820;64;Tarjeta Credito 6 Pagos;75000;1707;3
865;150;770;Tarjeta Debito;15000;1368;1
866;1140;962;Efectivo;40000;644;4
867;442;354;Tarjeta Credito 1 Pago;40000;277;4
868;190;55;Efectivo;25000;635;3
869;1076;187;Tarjeta Credito 6 Pagos;60000;1328;5
870;676;721;Tarjeta Credito 12 Pagos;40000;1972;2
871;337;1121;Tarjeta Credito 1 Pago;40000;1819;2
872;525;812;Efectivo;40000;1183;1
873;761;1000;Tarjeta Credito 6 Pagos;60000;1373;4
874;1071;113;Tarjeta Debito;75000;1406;4
875;1318;922;Efectivo;75000;1142;3
876;1421;1152;Tarjeta Credito 12 Pagos;75000;1529;5
877;1319;1426;Tarjeta Credito 1 Pago;25000;1214;3
878;747;653;Tarjeta Credito 6 Pagos;60000;475;2
879;589;556;Tarjeta Credito 1 Pago;60000;173;5
880;1084;1079;Tarjeta Debito;75000;1890;3
881;701;522;Tarjeta Credito 6 Pagos;40000;1550;3
882;814;267;Tarjeta Credito 12 Pagos;40000;712;2
883;655;1084;Efectivo;75000;1422;3
884;1257;379;Tarjeta Debito;15000;1255;1
885;1272;929;Efectivo;75000;614;4
886;789;959;Tarjeta Credito 6 Pagos;40000;1085;3
887;1316;85;Tarjeta Credito 6 Pagos;25000;1153;4
888;1;95;Tarjeta Credito 12 Pagos;60000;758;2
889;713;1402;Efectivo;40000;935;1
890;559;256;Efectivo;15000;990;4
891;976;1133;Tarjeta Credito 12 Pagos;75000;1644;1
892;1186;297;Tarjeta Credito 1 Pago;25000;1212;2
893;1013;110;Efectivo;25000;1002;1
894;755;1334;Tarjeta Debito;25000;1399;2
895;215;1141;Tarjeta Debito;25000;1739;2
896;265;335;Tarjeta Credito 6 Pagos;40000;82;5
897;792;569;Tarjeta Credito 12 Pagos;40000;90;3
898;1169;1117;Tarjeta Credito 6 Pagos;60000;866;4
899;387;1263;Tarjeta Credito 1 Pago;60000;510;2
900;934;505;Tarjeta Credito 12 Pagos;60000;1847;5
901;299;412;Tarjeta Credito 1 Pago;40000;1819;4
902;602;1353;Tarjeta Credito 6 Pagos;15000;1361;3
903;504;978;Efectivo;75000;1793;5
904;619;1306;Tarjeta Credito 1 Pago;75000;1962;3
905;771;534;Tarjeta Credito 12 Pagos;40000;1806;4
906;1242;1038;Tarjeta Credito 1 Pago;60000;394;1
907;1339;293;Efectivo;40000;74;4
908;67;1216;Efectivo;40000;1720;2
909;642;1111;Tarjeta Credito 1 Pago;60000;825;3
910;567;932;Tarjeta Debito;40000;1440;2
911;562;1107;Tarjeta Credito 1 Pago;75000;1079;3
912;1276;941;Tarjeta Credito 6 Pagos;60000;753;3
913;406;710;Tarjeta Credito 6 Pagos;40000;1054;3
914;1348;1426;Tarjeta Credito 12 Pagos;75000;1063;3
915;436;492;Tarjeta Credito 6 Pagos;40000;789;4
916;201;1303;Tarjeta Credito 6 Pagos;25000;980;4
917;123;844;Tarjeta Debito;40000;643;3
918;1116;953;Tarjeta Credito 6 Pagos;60000;1144;1
919;617;456;Tarjeta Credito 1 Pago;75000;819;5
920;883;1019;Tarjeta Debito;60000;645;4
921;7;973;Tarjeta Credito 1 Pago;60000;732;3
922;212;1044;Tarjeta Credito 6 Pagos;25000;1893;5
923;869;542;Tarjeta Credito 1 Pago;15000;780;2
924;1343;354;Tarjeta Credito 1 Pago;25000;907;5
925;1246;826;Tarjeta Credito 1 Pago;40000;1508;4
926;1386;480;Tarjeta Credito 6 Pagos;15000;1627;2
927;1187;1259;Efectivo;40000;1431;5
928;497;980;Efectivo;40000;71;2
929;551;184;Tarjeta Debito;40000;1574;5
930;1101;854;Tarjeta Credito 12 Pagos;40000;1501;2
931;1228;1296;Efectivo;75000;1000;4
932;569;294;Tarjeta Debito;15000;393;3
933;571;1388;Efectivo;75000;1783;4
934;1188;725;Efectivo;25000;1832;5
935;1173;314;Efectivo;75000;1218;3
936;1051;397;Tarjeta Credito 1 Pago;75000;1372;2
937;147;810;Tarjeta Credito 12 Pagos;15000;910;1
938;341;454;Tarjeta Debito;40000;1823;1
939;1170;1271;Tarjeta Debito;40000;1761;3
940;1197;131;Tarjeta Credito 6 Pagos;25000;862;4
941;1363;727;Tarjeta Credito 12 Pagos;15000;1505;5
942;1357;492;Tarjeta Credito 1 Pago;40000;368;1
943;450;1361;Tarjeta Credito 12 Pagos;15000;436;4
944;386;1161;Tarjeta Credito 12 Pagos;75000;440;1
945;704;1158;Tarjeta Debito;60000;696;4
946;255;1040;Tarjeta Credito 6 Pagos;15000;811;2
947;1334;1427;Tarjeta Credito 12 Pagos;25000;248;2
948;434;206;Tarjeta Credito 1 Pago;15000;1258;5
949;916;889;Tarjeta Debito;60000;1088;5
950;889;1070;Efectivo;15000;481;3
951;151;415;Tarjeta Credito 6 Pagos;15000;200;4
952;899;86;Efectivo;15000;1186;1
953;1135;182;Efectivo;60000;1866;3
954;900;872;Tarjeta Credito 1 Pago;25000;1181;2
955;705;1008;Tarjeta Debito;40000;1298;5
956;1110;1345;Tarjeta Debito;15000;451;2
957;615;822;Efectivo;60000;1526;5
958;592;389;Tarjeta Credito 12 Pagos;60000;1939;4
959;1423;437;Tarjeta Credito 1 Pago;60000;987;4
960;621;608;Tarjeta Debito;60000;1958;5
961;265;39;Tarjeta Credito 12 Pagos;40000;894;3
962;999;912;Tarjeta Credito 6 Pagos;15000;390;4
963;743;823;Tarjeta Credito 1 Pago;60000;435;3
964;177;1179;Tarjeta Credito 1 Pago;75000;7;4
965;1202;391;Efectivo;15000;1007;4
966;371;878;Efectivo;25000;141;5
967;259;815;Tarjeta Debito;15000;830;3
968;598;300;Tarjeta Credito 12 Pagos;15000;1838;1
969;355;1221;Tarjeta Credito 1 Pago;40000;300;1
970;697;938;Tarjeta Credito 1 Pago;40000;462;5
971;1231;595;Tarjeta Credito 12 Pagos;25000;55;1
972;1017;677;Efectivo;40000;458;5
973;70;863;Tarjeta Credito 1 Pago;60000;976;5
974;312;828;Tarjeta Credito 12 Pagos;25000;234;1
975;858;891;Tarjeta Credito 1 Pago;40000;842;2
976;989;1161;Tarjeta Debito;25000;477;2
977;320;1345;Tarjeta Credito 12 Pagos;25000;1400;2
978;961;710;Tarjeta Credito 6 Pagos;60000;1296;5
979;832;154;Tarjeta Credito 12 Pagos;15000;1281;5
980;666;835;Tarjeta Credito 1 Pago;25000;1551;2
981;43;208;Tarjeta Credito 6 Pagos;25000;1728;1
982;1335;1423;Tarjeta Credito 12 Pagos;60000;1192;2
983;1243;190;Tarjeta Credito 12 Pagos;75000;1087;2
984;741;757;Tarjeta Credito 12 Pagos;15000;352;1
985;747;304;Efectivo;60000;1820;2
986;730;240;Tarjeta Debito;15000;1027;4
987;685;623;Tarjeta Credito 6 Pagos;40000;383;4
988;247;755;Tarjeta Debito;75000;1248;1
989;729;675;Tarjeta Credito 1 Pago;40000;309;3
990;1373;470;Tarjeta Credito 1 Pago;40000;1860;2
991;1342;714;Tarjeta Credito 6 Pagos;15000;1665;2
992;143;876;Efectivo;25000;267;2
993;1282;1257;Tarjeta Credito 12 Pagos;25000;957;2
994;600;646;Tarjeta Credito 1 Pago;15000;598;5
995;1252;177;Tarjeta Debito;15000;382;4
996;1131;815;Tarjeta Credito 6 Pagos;25000;1520;2
997;750;975;Tarjeta Credito 6 Pagos;25000;1321;4
998;977;1005;Tarjeta Credito 12 Pagos;60000;364;1
999;814;1299;Tarjeta Credito 1 Pago;40000;1417;3
1000;429;1318;Tarjeta Debito;75000;598;4
1001;1135;31;Tarjeta Credito 1 Pago;25000;1619;1
1002;1226;526;Tarjeta Debito;25000;769;2
1003;359;263;Efectivo;25000;368;5
1004;1048;709;Efectivo;25000;1422;1
1005;734;421;Tarjeta Credito 12 Pagos;40000;1291;4
1006;1343;639;Efectivo;40000;1023;1
1007;258;1293;Tarjeta Debito;40000;1815;4
1008;712;691;Tarjeta Credito 1 Pago;40000;787;1
1009;145;716;Tarjeta Credito 6 Pagos;40000;382;5
1010;504;682;Tarjeta Debito;15000;1091;4
1011;208;666;Tarjeta Debito;60000;1139;3
1012;881;811;Tarjeta Credito 6 Pagos;40000;789;1
1013;682;502;Tarjeta Credito 1 Pago;40000;400;4
1014;943;1324;Efectivo;40000;1142;5
1015;1185;639;Efectivo;25000;473;1
1016;844;93;Tarjeta Credito 6 Pagos;40000;281;4
1017;1134;175;Tarjeta Credito 6 Pagos;40000;44;1
1018;156;175;Efectivo;25000;218;1
1019;1286;1038;Tarjeta Credito 12 Pagos;25000;95;4
1020;973;966;Tarjeta Credito 12 Pagos;75000;615;1
1021;563;850;Tarjeta Credito 6 Pagos;75000;1210;3
1022;980;1169;Efectivo;75000;1474;1
